id,title,company,location,salary,work_type,description,requirements,skills
3,Fullstack Product Engineer,Tocco,Ha Noi,"Up to 18,000,000 vnđ",Not specified,"- Tham gia phát triển, bảo trì và tối ưu hóa các website thương mại điện tử, đặc biệt là trên nền tảng CS-Cart.
- Thiết kế và xây dựng giao diện người dùng thân thiện, chuẩn UI/UX.
- Phát triển các tính năng mới cả về frontend và backend, đảm bảo hiệu suất và tính bảo mật.
- Phối hợp với team thiết kế, quản lý dự án và QA để triển khai sản phẩm chất lượng cao.
- Tham gia phân tích yêu cầu, đưa ra giải pháp kỹ thuật hợp lý cho các tính năng của hệ thống.
- Có kinh nghiệm custom addon, theme hoặc core trên CS-Cart.
- Làm việc theo mô hình labo, kỹ sư sẽ trở thành nhà phát triển chuyên trách của khách hàng, nhận chỉ thị và báo cáo trực tiếp với khách hàng Nhật Bản.","BẮT BUỘC:
- Có ít nhất 1–2 năm kinh nghiệm phát triển web fullstack (PHP, JavaScript).
- Có kinh nghiệm làm việc với một trong các framework: Laravel, Symfony, hoặc tương đương.
Thành thạo HTML, CSS, JavaScript (ưu tiên biết jQuery, và có kinh nghiệm xử lý responsive UI)
- Có khả năng tạo tài liệu thiết kế tổng quát và chi tiết để trình bày cho khách hàng.
- Có khả năng phân tích, tự học, và giải quyết vấn đề độc lập.
- Có kinh nghiệm thực tế với CS-Cart
 ƯU TIÊN:
- Ưu tiên ứng viên có sản phẩm thực tế hoặc đã từng tham gia phát triển hệ thống TMĐT.
- Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với khách hàng Nhật hoặc từng làm việc trong mô hình labo.","Fullstack, HTML5, PHP, JavaScript, CSS, Laravel, Fullstack Developer, IT Services and IT Consulting"
4,Frontend Developer (Shopify),CÔNG TY TNHH MISEN,Ha Noi,You'll love it,Not specified,"Phát triển giao diện người dùng cho các ứng dụng nội bộ sử dụng ReactJS vàTypeScript.
Phối hợp với team backend để tích hợp API và đảm bảo luồng dữ liệu mượt mà, chính xác.
Tối ưu hiệu năng hiển thị và trải nghiệm người dùng.
Tham gia vào quá trình phân tích yêu cầu, thiết kế UI/UX, và đóng góp ý tưởng cải thiện sản phẩm.
Đảm bảo chất lượng code thông qua review, viết test và tài liệu hóa.","Có ít nhất 2 năm kinh nghiệm làm việc với ReactJS.
Thành thạo TypeScript, HTML, CSS (hoặc TailwindCSS là một lợi thế).
Hiểu rõ cách hoạt động của React hooks, component lifecycle, state management (ví dụ: Redux, Context API).
Có kinh nghiệm làm việc với RESTful API.
Có khả năng làm việc độc lập và chủ động trong công việc.
Sử dụng tốt Git và quen với quy trình làm việc nhóm.
Điểm cộng
Kinh nghiệm với các thư viện UI như Ant Design hoặc tương tự.
Biết viết unit test với React Testing Library hoặc Jest.
Có kiến thức cơ bản về tối ưu SEO, performance frontend.
Đã từng làm việc với ứng dụng nội bộ doanh nghiệp là một lợi thế.","ReactJS, HTML5, CSS, TypeScript, Frontend Developer, IT Services and IT Consulting, Cyber Security, Network and Infrastructure"
5,Web Developer (WordPress/ UI UX),Công ty Cổ phần giao dịch hàng hóa Gia Cát Lợi,Ho Chi Minh,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
6,AI Engineer (Machine Learning/ Deep Learning),Công ty cổ phần Piscale,Ha Noi,"500 - 1,000 USD",Not specified,"About Us
 At EATLAB, we're a team that is hardworking, smart, and fast to take action. We don’t care what your degree is.  If you’re logical (no bullshit) and hardworking (almost a workaholic), this is the place for you. 
 We do not accept anything mediocre. Quality of work is important. Even if you cannot achieve perfection at the beginning, we value efforts to strive toward it. 
 Our product is an AI system that catches fraud and rewards efforts. We especially welcome candidates from Math, Physics, Nuclear Engineering, and related fields.
 You Should Apply If
You loveeeeee working, not (only) for money, but because you love to make something incredible
You always learn new things everyday
You hate corruption & fraud to the bone
Know how to ask a question
What You’ll Be Doing
Build, test, and improve AI/ML models with a focus on real-world applications
Evaluate model performance and identify opportunities to improve accuracy, speed, and reliability
Work with data — from preprocessing to fine-tuning, including images for computer vision tasks
Collaborate with a small, focused team — we value clear thinking, not loud talking
Deploy AI models to production, optimize inference, and contribute to system scalability
Contribute to monthly release cycles and iterate fast based on real user feedback","Must-Haves
Knowledgable in your applied field and always updating your knowledge
If you have a direct experience, it's a plus (but if not, it's ok)
If you love technology, you will have a lot of fun 
Learning is what you do everyday
We build fraud detection systems (so cool!!)
The CEO got a PhD from MIT (with GPA 4.0 all her life). 
Happy and good attitude 
Understand life – happiness and sufferings are a part of life
We got free snacks all day
Easy going, not too picky. Can enjoy colleagues at work
If you continue to develop yourself, your salary is subjected to increase twice a year (only if you improve)
We are building a team of avengers – small team of incredibly capable people. The more revenue we generate, the more it will come back to you. But it will be no easy work!
If you accept all of the above, click apply. 
PS. We want someone with a fighting attitude. If you give up easily, DO NOT apply.
Knowledgable In
Computer vision — classification, detection, segmentation
API development (e.g. Flask, FastAPI)
Math-heavy disciplines — linear algebra, statistics, optimization","Python, C++, DevOps, Machine Learning, AI, AI / Machine Learning Engineer, IT Hardware and Computing"
7,Backend Developer (Laravel/ MySQL/ PostgreSQL),Y Tế Phương Đông,Ha Noi,You'll love it,Not specified,"Trung tâm Công nghệ thông tin là đơn vị xây dựng, triển khai, duy trì các hệ thống phần mềm, số hóa các quy trình thuộc lĩnh vực quản trị doanh nghiệp (tài chính, tài sản, kho, mua sắm, nhân sự...) trong Tập đoàn, triển khai các công cụ phần mềm hỗ trợ nghiệp vụ cho các đơn vị trực thuộc. Đồng thời, trung tâm cũng nghiên cứu và triển khai các giải pháp ERP nhằm nâng cao năng lực quản trị, nâng cao hiệu quả sử dụng tài nguyên (bao gồm cả tài nguyên con người), nhất quán về cách thức quản lý và đảm bảo tính tuân thủ của Viettel trên toàn cầu. 
Phát triển backend (sử dụng NodeJS/Java/PHP), đảm bảo đáp ứng đúng các yêu cầu nghiệp vụ.
Phối hợp với các bộ phận liên quan để làm rõ yêu cầu kỹ thuật, xây dựng kiến trúc hệ thống và tích hợp dữ liệu.
Tham gia viết unit test, kiểm thử chức năng và xử lý lỗi trong quá trình triển khai.
Deploy code trên server test và production.
Giám sát và đảm bảo hệ thống vận hành ổn định, tối ưu.
Nghiên cứu và đề xuất cải tiến hiệu năng, kiến trúc hệ thống, công nghệ mới nhằm nâng cao chất lượng sản phẩm, tối ưu hóa hệ thống để xử lý dữ liệu lớn.
Các công việc khác theo phân công của quản lý","Tốt nghiệp Đại học loại khá trở lên chuyên ngành CNTT, KHMT hoặc các ngành liên quan.
TOIEC >=550 hoặc tương đương.
Có ít nhất 3 năm kinh nghiệm lập trình backend (sử dụng NodeJS/Java/PHP).
Có kiến thức và tư duy lập trình hướng đối tượng (OOP).
Có hiểu biết về CI/CD
Có kiến thức về cơ sở dữ liệu.
Có kiến thức về an toàn thông tin
Có hiểu biết về quy trình phát triển phần mềm theo mô hình Agile/Scrum.
Ưu tiên ứng viên có kinh nghiệm tích hợp hệ thống và triển khai ứng dụng trên nền tảng cloud (AWS, GCP,...).","NodeJS, Java, PHP, OOP, CI/CD, Backend Developer, Telecommunication"
8,Software Developer (VueJS/ Laravel),Y Tế Phương Đông,Ha Noi,"Up to 18,000,000 vnđ",Not specified,"- Tham gia phát triển, bảo trì và tối ưu hóa các website thương mại điện tử, đặc biệt là trên nền tảng CS-Cart.
- Thiết kế và xây dựng giao diện người dùng thân thiện, chuẩn UI/UX.
- Phát triển các tính năng mới cả về frontend và backend, đảm bảo hiệu suất và tính bảo mật.
- Phối hợp với team thiết kế, quản lý dự án và QA để triển khai sản phẩm chất lượng cao.
- Tham gia phân tích yêu cầu, đưa ra giải pháp kỹ thuật hợp lý cho các tính năng của hệ thống.
- Có kinh nghiệm custom addon, theme hoặc core trên CS-Cart.
- Làm việc theo mô hình labo, kỹ sư sẽ trở thành nhà phát triển chuyên trách của khách hàng, nhận chỉ thị và báo cáo trực tiếp với khách hàng Nhật Bản.","BẮT BUỘC:
- Có ít nhất 1–2 năm kinh nghiệm phát triển web fullstack (PHP, JavaScript).
- Có kinh nghiệm làm việc với một trong các framework: Laravel, Symfony, hoặc tương đương.
Thành thạo HTML, CSS, JavaScript (ưu tiên biết jQuery, và có kinh nghiệm xử lý responsive UI)
- Có khả năng tạo tài liệu thiết kế tổng quát và chi tiết để trình bày cho khách hàng.
- Có khả năng phân tích, tự học, và giải quyết vấn đề độc lập.
- Có kinh nghiệm thực tế với CS-Cart
 ƯU TIÊN:
- Ưu tiên ứng viên có sản phẩm thực tế hoặc đã từng tham gia phát triển hệ thống TMĐT.
- Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với khách hàng Nhật hoặc từng làm việc trong mô hình labo.","Fullstack, HTML5, PHP, JavaScript, CSS, Laravel, Fullstack Developer, IT Services and IT Consulting"
9,Flutter Developer (React Native/ OOP),Công ty cổ phần Piscale,Ha Noi,You'll love it,Not specified,"About Us: Bosch Sensortec
Bosch Sensortec is the technology leader in sensing solutions based on microelectromechanical systems (MEMS) and dedicated to the consumer electronics world. Our success in MEMS sensors and solutions is built on a remarkable team driven by passion, innovation and flexibility. 
 Find out more about the applications we make possible for smartphones, tablets, wearables, AR/VR, smart homes and the IoT in our website
 Key responsibilities:
Develop and maintain apps using Flutter & Dart.
Integrate with native components (C, C#, C++).
Ensure app performance, scalability and stability.
Review code, debug issues, and write clear documentation.
Collaborate with cross-functional teams to bring intuitive UI/UX to life.","Must-have:
Bachelor / Master degree, major in Computer Science or Information Technology or related field
Strong experience with Flutter / Dart.
Experience building cross-platform apps (Android/iOS/Windows).
Solid understanding of OOP, SOLID, MVVM/MVC, BLoC.
Good knowledge of multithreading, file handling, streams.
Proficiency in English (written and spoken).
 Nice-to-have:
Knowledge of BLE, sensor integration, or location services.
Experience with embedded systems or full-stack Flutter development.
Familiarity with CI/CD, Git, Jenkins, Jira, Confluence.","Flutter, Android, iOS, OOP, Dart, Windows, Mobile Application Developer, Software Development Outsourcing, Software Products and Web Services"
10,"Senior Software Engineer (Python, JavaScript, ERP)",Port Cities Vietnam,Ho Chi Minh,You'll love it,Not specified,"Xây dựng khung quy trình công ty và chủ trì cải tiến hệ thống quy trình đặc biệt quy trình sản xuất phần mềm cho OS theo các công nghệ, mô hình, phương pháp mới (DevSecOps, Design Thinking, Shiftleft Testing, CICD, Agile…); theo thực tế áp dụng và ý kiến Khách hàng.
Đưa ra các mục tiêu, chương trình hành động để nâng cao mức độ tuân thủ quy trình như đánh giá nội bộ, số hóa quy trình.
Định nghĩa và triển khai thực tế các hoạt động đảm bảo chất lượng sản phẩm theo yêu cầu của Khách hàng, nội bộ
Đo đạc, đánh giá, phân tích các số liệu quy trình, chất lượng, tiến độ dự án; từ đó đưa ra các nguy cơ , xu hướng, vấn đề và đề xuất quy trình, chất lượng
Quản lý nhân sự QA, đào tạo và định hướng công việc cho nhân sự QA
Định hướng công cụ ứng dụng đảm bảo Quản lý chất lượng bao gồm yêu cầu phát triển công cụ và các công cụ thương mại như Jira, SVN, Power BI...","Tốt nghiệp đại học về các lĩnh vực Công nghệ thông tin, Điện tử viễn thông
Ít nhất 5 năm kinh nghiệm tại vị trí QA (Quality Assurance) trong lĩnh vực phát triển phần mềm, trong đó ít nhất 3 năm ở vị trí quản lý
Đã tham gia triển khai ít nhất 1 trong các tiêu chuẩn CMMi, ISO
Có khả năng tìm hiểu, nghiên cứu để làm chủ/ triển khai áp dụng các quy trình quản lý sản xuất tại đơn vị như Agile, CICD
Đọc hiểu tài liệu tiếng Anh tốt, giao tiếp ở mức cơ bản
Ưu tiên có các chứng chỉ quốc tế liên quan như PSM, CSQA, Lead Auditor...
Ưu tiên có thêm kinh nghiệm quản lý nhóm CSKH, tiếp nhận phản ánh CNTT
Tư vấn bất cứ vùng quy trình nào theo mô hình tổ chức đơn vị và yêu cầu SLA
Phân tích, thẩm định số liệu chất lượng
Sử dụng thành thạo các công cụ, phần mềm của công ty ( Microsoft, Dashboard, Power BI, Confluence, Jira, SVN...)","PQA, Team Management, QA QC, ISO 27001, IT Audit, Manager, IT Services and IT Consulting, Software Development Outsourcing, Software Products and Web Services"
11,"Expert, Customer Experience Design",Techcombank,Ho Chi Minh,You'll love it,Not specified,"About Us
 Avian Solutions is a fast-growing aviation software startup, transforming the way the private aviation industry operates. Our core belief is that great design is not an afterthought — it’s at the heart of the product. We’re a tight-knit, ambitious team building smart, beautiful, and scalable solutions for complex workflows.
 We’re looking for a creative, detail-oriented Product Designer who can turn complexity into elegant simplicity. You’ll work across responsive websites, SaaS platforms, customer portals, and mobile apps — helping shape a unified experience across our product ecosystem. If you’re driven by stunning interfaces, frictionless UX, and love bringing structure to complex systems — we’d love to hear from you.
 What You’ll Do
As our next Product Designer, you will:
Partner with product managers, engineers, and stakeholders to define, design, and refine powerful user experiences. 
Own the entire design lifecycle: from research and wireframes to high-fidelity Figma mockups and interactive prototypes. 
Design intuitive and beautiful UI across multiple platforms: websites, internal portals, mobile apps, and B2B SaaS tools. 
Work on real, complex products — from private jet quoting platforms to internal dashboards — and bring order to technical chaos through visual clarity. 
Validate design ideas with testing, feedback loops, and iteration. 
Help maintain and evolve our design system for visual consistency across products. 
Participate in user testing and QA to ensure pixel-perfect implementation.","What We’re Looking For 
Must-Haves 
2+ years of proven experience in Product/UI/UX Design, with a portfolio showcasing real products, not just concept work. 
Mastery of Figma for both prototyping and production design. 
You should be fast, organised, and thoughtful in how you use it. 
Creative problem-solving mindset – you should love turning ambiguous requirements into exceptional, user-friendly UI. 
Strong command of UX principles and ability to articulate design decisions. 
Experience designing responsive web interfaces, mobile apps, and SaaS platforms. 
Strong collaboration skills – you’ll work closely with developers to ensure your designs are feasible, accessible, and implemented as intended. 
Good written and spoken English communication. 
Nice-to-Haves
Familiarity with Agile or lean product development environments.
Experience with aviation, logistics, or B2B SaaS tools. 
A basic understanding of HTML/CSS for better developer collaboration.
Experience working within or maintaining a design system.
You’ll Thrive Here If You
Obsessed with detail, typography, spacing, and user psychology. 
Highly autonomous – you don’t wait to be told what to do. 
Excited by startups, fast-paced environments, and solving real-world problems. 
Inspired by good design and driven to constantly improve. 
Not afraid to challenge norms and bring fresh ideas to the table.
How to Apply
If you're excited to bring clarity to complexity and design experiences people love — we want to hear from you!
Please include:
A link to your portfolio (required)
Your updated CV
A short note about why this role is a great fit for you","Product Design, English, UI-UX, Figma, Prototyping, Interaction Design, Product Designer, Software Products and Web Services"
12,"Senior Officer, User Experience Research",Techcombank,Ha Noi,You'll love it,Not specified,"- The senior UX Researcher’s role is to provide answers to the most challenging questions in the product’s design, and to reveal the underlying needs of customers. 
- The senior UX Researcher reveals what the consumers need by conducting primary research, observing consumer behaviour and motivation, and working with Product Designers, Product Management, and Product Developers to developing new products and services.
Key Accountabilities (1)
Research:
- Conduct various studies with the assistance of the UX Researcher, by applying methods such as usability testing, field research, surveys, diary studies, and any other methods that she deems impactful in the formulation of product approaches that improve consumer experience.
- Analyse qualitative and quantitative data in order to generate strategic and tactical insights along with actionable recommendations that drive product design improvements and innovation that will in turn improve the consumer experience.
- Lead the product design and product development departments in a hands-on manner through both small scale and large scale user experience research. The UX Researcher assists these departments in the analysis and interpretation of cognitive, behavioural, and physiological data.
Key Accountabilities (2)
Collaboration:
- Facilitates the collection of experience metrics in the course of collaboration with different product departments; collaborate with Product and Experience Design as well as the Development (engineering), Marketing, Sales, and Product Management.
- Contributes to design expertise by actively participating in various product discussion sessions with the product designers, developers, managers and other collaborative personnel.
- In interaction with consumers, usesing approaches method such as interviews, diary studies, surveys, competitive analysis, and A/B testing, among many others.
Key Accountabilities (3)
Key Relationships - Direct Manager Director, Customer Experience Design
Key Relationships - Direct Reports
Key Relationships - Internal Stakeholders
Teams within the Digital Office and relevant departments in the Bank.
Key Relationships - External Stakeholders Customers,Partners providing professional services","- 5+ years of relevant experience in a research role
- Deep experience in working with clients researching customer needs and behaviours
- Deep experience in product management or customer segment management
 Agile / Digital Experience
- Strong understanding of Agile principles, practices and Scrum methodologies.
- Experience working in Agile teams to support digital transformation projects.
- Experience in process improvement and LEAN thinking methodologies
Qualifications
- Bachelor degree in Social Science, Cognitive Science, Statistics, Psychology, or any other related field. A working experience of the equivalent is also acceptable for the position.","Market research, Agile, Product Management, Scrum, Data Analysis, UX Researcher, Banking"
13,"Tech Lead – IP Telephony/VoIP Systems (NodeJS, Golang)",K&M Holdings,Ha Noi,Negotiation,Not specified,"CEVA Logistics provides global supply chain solutions to connect people, products and providers all around the world. Present in 170 countries and with more than 110,000 employees spread over 1,500 sites, we are well on our way to achieving our vision: to be a Top 5 global 3PL.
We believe that our employees are the key to our success. We want to engage and empower our diverse, global team to co-create value with our customers through our solutions in contract logistics and air, ocean, ground, and finished vehicle transport. That is why CEVA Logistics offers a dynamic and exceptional work environment that fosters personal growth, innovation, and continuous improvement.
CESA Vietnam was founded in 2018; CESA started as a development center in Vietnam,then now became a technology company of CEVA Logistic, specializing in Microsoft .Net technologies (ASP.Net MVC, API, Azure,...), ESB platform (Webmethods, Java...) and delivers projects using Agile methodology.
Working with us, you’ll have the opportunity to develop your skills and career in an exciting workplace in touch with an international and innovative environment.
DARE TO GROW! Join CESA Vietnam / CEVA Logistics, and you will be part of a team that values imagination, encourages boldness and exemplarity, and is committed to excellence in everything we do. Join us in our mission to shape the future of global logistics as we become a global leader in the logistics industry. As we continue growing at a fast pace, will you “Dare to Grow” with us?
Main tasks and activities
Responsible in designing, implementing, and maintaining integrations between applications/systems (internal applications within CEVA or external applications from numerous trading partners), ensuring smooth data flow and communication
Design, develop, review, test, and manage underlaying integration frameworks and components that are being used by other integration teams
Responsible for mentoring, reviewing code and helping other team members with technical issues
Ensure maintenance and management of developed solutions
Participate to common daily/weekly meeting with project teams based in Paris or India.
Realize daily and weekly activity reporting using Group tools","Educational background
Graduate in computer science or related fields
Technical skills
For Middle level: 3+ years of experience as a software engineer in a complex development environment.
For Senior level: 5+ years of experience as a software engineer in a complex development environment.
Solid experience in Java programming language
Experience in designing & developing RESTful APIs
Experience with unit testing and integration testing
Advantageous to have: 
Domain knowledge and experience in Transport and Logistics is a plus
Experience in working as enterprise application integration engineer before
Hands-on experience with any messaging system/service such as RabbitMQ, Kafka, Google Cloud Pub/Sub, etc.
Experience with any Cloud platforms (Microsoft Azure, AWS, GCP, etc.)
Language
Good communication in English (written and spoken)
Soft skills
Have good logical and critical thinking 
Having passion for technology and a continuous learning mindset
Good problem-solving and analytical skills
Good team player and positive attitude","Java, English, Cloud, Integration & Legacy Systems Developer, IT Services and IT Consulting, Transportation, Logistics and Warehouse, Software Products and Web Services"
14,Cybersecurity Engineer (Security/Cloud/AWS),DIGI-TEXX VIETNAM,Ho Chi Minh,You'll love it,Not specified,"Thực hiện việc rà soát, đánh giá/kiểm thử an ninh thông tin hệ thống
Tiến hành các cuộc thử nghiệm thâm nhập của Red Team, mô phỏng những cuộc tấn công trong thế giới thực, chỉ ra những điểm yếu của nội bộ và hệ thống SOC.
Thực hiện đào tạo chia sẻ với các thành viên trong đội nhóm.
Thực hiện các công việc khác theo yêu cầu của Manager đề ra.","Tốt nghiệp Đại học (chính quy, công lập, dân lập trong nước hoặc Đại học tại nước ngoài) trở lên thuộc các chuyên ngành: An ninh mạng (Cybersecurity), An toàn thông tin (Information Security), Bảo mật thông tin và mật mã (Cryptography & Information Security), Công nghệ Thông tin, Hệ thống thông tin, Kỹ thuật phần mềm, Kỹ thuật mạng, Quản trị hệ thống và Mạng, Điện tử - Viễn thông...
Hiểu rõ root-cause các lỗ hổng bảo mật (theo OWASP, CWE), cách exploit (manual – không sử dụng các công cụ tự động).
Hiểu biết về các phase trong Redteam. Có kinh nghiệm sử dụng các công cụ hỗ trợ trong quá trình Pentest cũng như các công cụ trong từng Redteam phase.
Có khả năng code một trong những ngôn ngữ scripting để viết mã exploit (Bash, Powershell, Python, Perl, Java, .Net, ...), có khả năng sửa, tạo các exploit cho web, OS...
Có khả năng nghiên cứu chuyên sâu, cách debug trên các ngôn ngữ nhằm xây dựng lại exploit liên quan tới các lỗ hổng bảo mật 1-day  (Nếu có phát hiện các lỗ hổng 0-day là một lợi thế)
Có hiểu biết về các cơ chế phòng thủ/giám sát của blue-team nhằm tìm cách bypass/ẩn mình trước các cơ chế này là một lợi thế.","Security, Java, Python, Information Security, Cybersecurity, Pentest, Security Engineer, Banking, Cyber Security"
15,"Senior/Junior, Application Operator",Techcombank,Ha Noi,"700 - 1,800 USD",Not specified,"Headquarter: Daoukiwoom Group - Find more at:
Industry: Finance & Trading
  Develop server-side systems using Unix/Linux C programming within the Kiwoom platform, utilizing CISAM, IPC, and Shared Memory
Collaborate directly with remote teams to clarify tasks and requirements
Analyze user requirements and participate in system design to develop new features
Investigate and resolve reported issues and bugs during integration testing, user acceptance testing, and maintenance testing
Manage time and resources effectively based on the Work Breakdown Structure (WBS)
Compile weekly progress reports detailing task status and developments
Engage in continuous self-learning to acquire domain knowledge, prepare reports, and conduct seminars to share insights
Write high-quality, clean, maintainable, and testable code following best practices
Ensure technical documentation is accurate and up-to-date
Mentor junior developers and provide technical training when necessary
Gain hands-on experience in all stages of diverse projects, covering various aspects of software engineering and fostering your professional growth.","Education & Experience
Bachelor's Degree in Computer Science/Information Technology or relevant fields.
Minimum 2-3 years of professional experience in C language
Experience operating in an Agile environment, with a deep understanding of agile development principles.
Technical skills
Experience with C language focus in: CISAM, IPC, Shared Memory
Prior experience with Korean stock market systems is a significant advantage.
Familiarity with version control systems, such as Git or SVN.
Familiarity with issues tracking tools, such as Redmine.
Soft Skills & Communication
Able to communicate in English, written and spoken (processed by English interview).
Strong communication skills and teamwork, international experience is preferred.
Strong problem-solving and analytical skills.
Give Reference
Over 1 year of experience in developing securities solutions under channel server side
Experience on working with oversea team.
Develop and maintain the Channel Server for the Korean stock market system.","C language, Agile, Banking & Financial Systems Developer, Financial Services"
16,Leader for Platform Team (onsite China),FPT Software,Ho Chi Minh,"650 - 2,200 USD",Not specified,"Với hơn 1200 nhân sự chất lượng cao , Tổng Công ty Công Nghiệp Công Nghệ Cao Viettel (VHT) trực thuộc Tập đoàn Công nghiệp - Viễn thông Quân, đã và đang trở thành nơi hội tụ của nhiều Tiến sỹ, Thạc sỹ được đào tạo tại các Quốc gia phát triển như Mỹ, Pháp, Anh, Hàn Quốc, Nhật Bản,...
Hướng tới sứ mệnh tạo ra các sản phẩm khí tài quân sự và dân sự Made-in-Vietnam, Made-by-Vietnamese, tiến tới mục tiêu nắm giữ công nghệ lõi, VHT tập trung nghiên cứu phát triển các hệ thống chỉ huy và điều khiển, radar, thiết bị thông tin, hệ thống chỉ thị mục tiêu hải đảo, các hệ thống tác chiến điện tử, mô hình mô phỏng tập trận, các hệ thống cảnh giới quang điện tử...đi kèm với các sản phẩm thiết bị mạng viễn thông như hệ thống truy cập di động, cố định, các thiết bị truyền dẫn, hệ thống mạng lõi và các thiết bị Chip, thiết bị Y tế, camera… nhằm tăng cường khả năng an ninh quốc gia, quốc phòng, bảo vệ biên giới và lãnh thổ Việt Nam và từ đó hiện thực hóa tham vọng để trở thành “Tổ hợp Công nghiệp Quốc phòng” tầm cỡ trong khu vực và trên thế giới.
Mô tả công việc:
Tham gia phân tích yêu cầu và thiết kế chức năng, thiết kế module cho hệ thống nhúng.
Nghiên cứu phát triển driver, ứng dụng cho các tính năng của sản phẩm.
Lập trình, kiểm thử chức năng theo yêu cầu thiết kế quản lý chất lượng đảm bảo chất lượng hệ thống.
Xây dựng bài đo, phương pháp đánh giá; phương pháp debug lỗi trong quá trình lập trình, kiểm thử sản phẩm.","Tốt nghiệp Đại học chính quy loại Khá trở lên chuyên ngành: Công nghệ thông tin, Điện tử viễn thông,...hoặc các chuyên ngành kỹ thuật khác liên quan.
Trình độ tiếng Anh tương đương tối thiểu 550 điểm Toeic.
Có tối thiểu 02 năm kinh nghiệm liên quan đến vị trí ứng tuyển.
Có kiến thức nền tảng về kỹ thuật vi xử lý và kỹ thuật điện tử (điện tử tương tự, điện tử số, mạch logic...), kiến trúc máy tính, hệ điều hành, kỹ thuật lập trình.
Sử dụng tốt ít nhất 01 công cụ lập trình nhúng cho vi điều khiển, vi xử lý cao cấp (ARM, DSP, ASIC).
Sử dụng tốt ngôn ngữ lập trình C/C++. 
Có kinh nghiệm làm việc trên hệ điều hành Linux.
Có kinh nghiệm lập trình ngoại vi, giao tiếp bộ nhớ, giao tiếp số (UART/SPI/I2C/CAN...).","Embedded, C++, Linux, C language, Embedded Engineer, Telecommunication"
